Record#,tag,light status,distance,top_red,top_green,top_blue,top_distance,mid_red,mid_green,mid_blue,mid_distance,bottom_red,bottom_green,bottom_blue,bottom_distance
60,One Ring,On,383.0 mm,0.0066,0.0119,0.0098,90.6568,0.0011,0.0018,0.0014,116.1694,0.0078,0.0137,0.0087,120.3444
61,One Ring,On,278.0 mm,0.0066,0.0117,0.0094,92.9802,0.0014,0.0018,0.0014,112.3153,0.0076,0.0135,0.0087,138.2038
62,One Ring,On,242.0 mm,0.0071,0.0121,0.0098,98.0695,0.0014,0.0021,0.0014,120.3444,0.0080,0.0140,0.0087,122.5657
63,One Ring,On,239.0 mm,0.0076,0.0126,0.0094,95.4463,0.0027,0.0034,0.0016,100.8660,0.0096,0.0156,0.0092,116.1694
64,One Ring,On,236.0 mm,0.0071,0.0121,0.0094,98.0695,0.0062,0.0062,0.0023,96.7373,0.0135,0.0192,0.0098,85.3942
65,One Ring,On,229.0 mm,0.0071,0.0119,0.0094,98.0695,0.0217,0.0199,0.0053,75.9639,0.0513,0.0547,0.0188,27.9763
66,One Ring,On,220.0 mm,0.0071,0.0119,0.0094,98.0695,0.0039,0.0039,0.0014,99.4450,0.5264,0.5017,0.1254,6.3576
67,Four Rings,On,36.0 mm,0.0581,0.0581,0.0233,22.4718,0.0712,0.0657,0.0165,20.8018,0.0833,0.0833,0.0240,24.4892
68,Four Rings,On,21.0 mm,1.0000,1.0000,0.4447,6.3576,0.0027,0.0021,0.0002,6.3576,1.0000,1.0000,0.3145,6.3576
69,Four Rings,On,54.0 mm,0.0245,0.0277,0.0137,47.2285,0.0309,0.0295,0.0078,42.0122,0.0334,0.0371,0.0133,51.9549
70,Four Rings,On,106.0 mm,0.0117,0.0160,0.0101,79.9360,0.0066,0.0069,0.0023,83.4808,0.0133,0.0185,0.0094,96.7373
71,Four Rings,On,168.0 mm,0.0078,0.0126,0.0094,91.8015,0.0023,0.0027,0.0016,99.4450,0.0092,0.0149,0.0087,127.3072
72,Four Rings,On,225.0 mm,0.0071,0.0119,0.0094,88.4637,0.0014,0.0021,0.0014,112.3153,0.0080,0.0140,0.0087,127.3072
73,Four Rings,On,314.0 mm,0.0064,0.0117,0.0094,95.4463,0.0014,0.0018,0.0014,110.4968,0.0078,0.0137,0.0087,124.8843
74,Four Rings,On,413.0 mm,0.0064,0.0114,0.0094,91.8015,0.0011,0.0016,0.0014,110.4968,0.0078,0.0137,0.0087,135.2804
75,Four Rings,On,287.0 mm,0.0066,0.0117,0.0094,105.4273,0.0014,0.0018,0.0014,112.3153,0.0080,0.0137,0.0087,141.2778
76,Four Rings,On,193.0 mm,0.0076,0.0124,0.0094,91.8015,0.0018,0.0025,0.0014,112.3153,0.0087,0.0144,0.0087,124.8843
77,Four Rings,On,112.0 mm,0.0098,0.0146,0.0098,86.3897,0.0050,0.0055,0.0021,92.9802,0.0119,0.0174,0.0094,108.7451
78,Four Rings,On,66.0 mm,0.0160,0.0201,0.0117,62.2924,0.0163,0.0156,0.0046,59.1735,0.0213,0.0263,0.0112,74.4995
79,Four Rings,On,92.0 mm,0.0144,0.0188,0.0112,63.7496,0.0124,0.0119,0.0030,77.4968,0.0165,0.0215,0.0101,91.8015
80,Four Rings,On,213.0 mm,0.0078,0.0126,0.0094,90.6568,0.0025,0.0032,0.0016,112.3153,0.0092,0.0149,0.0087,132.4965
81,Four Rings,On,331.0 mm,0.0071,0.0119,0.0094,95.4463,0.0014,0.0021,0.0014,108.7451,0.0080,0.0140,0.0087,141.2778
82,Four Rings,On,466.0 mm,0.0064,0.0117,0.0094,91.8015,0.0014,0.0018,0.0014,118.2142,0.0078,0.0137,0.0087,127.3072
83,Four Rings,On,447.0 mm,0.0064,0.0114,0.0092,102.3350,0.0011,0.0016,0.0014,116.1694,0.0078,0.0137,0.0087,135.2804
84,Four Rings,On,22.0 mm,0.9490,0.8750,0.2756,6.3576,0.0027,0.0021,0.0002,6.3576,1.0000,1.0000,0.3781,6.3576
85,Four Rings,On,76.0 mm,0.0183,0.0220,0.0119,60.0272,0.0163,0.0158,0.0046,60.0272,0.0217,0.0261,0.0112,75.9639
86,Four Rings,On,38.0 mm,0.0391,0.0412,0.0176,30.7871,0.0515,0.0483,0.0124,29.7227,0.0531,0.0554,0.0181,36.2538
87,Four Rings,On,116.0 mm,0.0101,0.0146,0.0098,82.5608,0.0050,0.0055,0.0021,86.3897,0.0119,0.0172,0.0092,105.4273
88,Four Rings,On,114.0 mm,0.0105,0.0149,0.0098,81.6639,0.0053,0.0055,0.0021,92.9802,0.0119,0.0174,0.0092,110.4968
89,Four Rings,On,198.0 mm,0.0071,0.0119,0.0092,91.8015,0.0014,0.0021,0.0014,107.0564,0.0085,0.0140,0.0087,122.5657
90,Four Rings,On,261.0 mm,0.0064,0.0114,0.0092,98.0695,0.0011,0.0016,0.0009,108.7451,0.0078,0.0135,0.0087,129.8418
91,Four Rings,On,318.0 mm,0.0064,0.0114,0.0094,99.4450,0.0011,0.0014,0.0009,114.2047,0.0076,0.0135,0.0087,135.2804
92,Four Rings,On,343.0 mm,0.0064,0.0114,0.0092,100.8660,0.0011,0.0016,0.0009,116.1694,0.0078,0.0135,0.0087,127.3072
93,Four Rings,On,347.0 mm,0.0066,0.0117,0.0092,90.6568,0.0014,0.0018,0.0014,108.7451,0.0080,0.0137,0.0087,138.2038
94,Four Rings,On,331.0 mm,0.0071,0.0119,0.0092,88.4637,0.0014,0.0018,0.0009,110.4968,0.0085,0.0140,0.0087,116.1694
95,Four Rings,On,168.0 mm,0.0082,0.0128,0.0094,91.8015,0.0030,0.0032,0.0014,100.8660,0.0098,0.0153,0.0087,122.5657
96,Four Rings,On,121.0 mm,0.0089,0.0135,0.0094,77.4968,0.0050,0.0050,0.0016,89.5447,0.0117,0.0172,0.0092,103.8545
97,Four Rings,On,70.0 mm,0.0165,0.0206,0.0112,56.7725,0.0188,0.0176,0.0041,60.0272,0.0227,0.0266,0.0110,73.0988
98,Four Rings,On,95.0 mm,0.0124,0.0167,0.0105,75.2234,0.0096,0.0098,0.0027,83.4808,0.0153,0.0204,0.0101,94.1946
99,Four Rings,On,130.0 mm,0.0094,0.0142,0.0098,82.5608,0.0048,0.0053,0.0021,90.6568,0.0112,0.0167,0.0092,112.3153
100,Four Rings,On,167.0 mm,0.0080,0.0126,0.0094,88.4637,0.0025,0.0030,0.0014,99.4450,0.0092,0.0149,0.0087,124.8843
101,Four Rings,On,220.0 mm,0.0073,0.0121,0.0094,90.6568,0.0014,0.0021,0.0014,108.7451,0.0085,0.0140,0.0087,116.1694
102,Four Rings,On,271.0 mm,0.0064,0.0114,0.0092,94.1946,0.0011,0.0016,0.0009,110.4968,0.0078,0.0135,0.0087,138.2038
103,Four Rings,On,342.0 mm,0.0064,0.0114,0.0094,92.9802,0.0011,0.0014,0.0009,118.2142,0.0073,0.0133,0.0085,151.5366
104,Four Rings,On,410.0 mm,0.0062,0.0112,0.0092,100.8660,0.0011,0.0014,0.0009,124.8843,0.0076,0.0135,0.0087,141.2778
105,Four Rings,On,245.0 mm,0.0064,0.0114,0.0092,92.9802,0.0014,0.0018,0.0009,105.4273,0.0078,0.0137,0.0087,127.3072
106,Four Rings,On,164.0 mm,0.0078,0.0126,0.0094,90.6568,0.0023,0.0027,0.0014,98.0695,0.0092,0.0149,0.0087,122.5657
107,Four Rings,On,109.0 mm,0.0114,0.0158,0.0101,79.9360,0.0064,0.0066,0.0023,85.3942,0.0130,0.0183,0.0094,103.8545
108,Four Rings,On,64.0 mm,0.0211,0.0243,0.0124,53.8994,0.0217,0.0206,0.0055,51.9549,0.0256,0.0298,0.0119,66.9160
109,Four Rings,On,40.0 mm,0.0462,0.0472,0.0197,26.4505,0.0588,0.0549,0.0142,25.9421,0.0616,0.0632,0.0197,32.2495
110,Four Rings,On,25.0 mm,0.2493,0.2291,0.0751,8.5282,0.1273,0.1147,0.0279,7.3192,0.2749,0.2618,0.0655,9.3702
111,Four Rings,On,19.0 mm,1.0000,1.0000,0.4399,6.3576,0.0014,0.0011,0.0002,6.3576,1.0000,1.0000,0.4008,6.3576
112,Four Rings,On,127.0 mm,0.0089,0.0137,0.0094,87.4124,0.0041,0.0043,0.0016,89.5447,0.0108,0.0163,0.0092,108.7451
113,Four Rings,On,136.0 mm,0.0092,0.0137,0.0098,82.5608,0.0039,0.0041,0.0016,96.7373,0.0105,0.0160,0.0092,112.3153
114,Four Rings,On,82.0 mm,0.0185,0.0222,0.0119,53.8994,0.0146,0.0140,0.0039,66.3631,0.0195,0.0243,0.0105,80.7892
115,Four Rings,On,39.0 mm,0.3658,0.3392,0.1112,6.6153,0.0611,0.0561,0.0142,23.1162,0.1387,0.1362,0.0369,14.1698
116,Four Rings,On,72.0 mm,0.0197,0.0233,0.0126,49.0496,0.0153,0.0146,0.0041,69.2390,0.0206,0.0254,0.0112,73.0988
117,Four Rings,On,116.0 mm,0.0105,0.0149,0.0098,79.9360,0.0053,0.0057,0.0021,85.3942,0.0121,0.0174,0.0094,105.4273
118,Four Rings,On,116.0 mm,0.0098,0.0146,0.0098,82.5608,0.0050,0.0055,0.0021,87.4124,0.0119,0.0172,0.0092,102.3350
119,Four Rings,On,154.0 mm,0.0085,0.0130,0.0094,88.4637,0.0032,0.0037,0.0016,96.7373,0.0098,0.0156,0.0087,110.4968
120,Four Rings,On,273.0 mm,0.0064,0.0117,0.0092,100.8660,0.0014,0.0016,0.0009,118.2142,0.0078,0.0137,0.0087,122.5657
121,Four Rings,On,67.0 mm,0.0222,0.0254,0.0133,47.9895,0.0307,0.0288,0.0078,44.0160,0.0343,0.0380,0.0142,51.9549
122,Four Rings,On,48.0 mm,0.0300,0.0325,0.0151,36.6639,0.0469,0.0437,0.0110,32.6672,0.0547,0.0570,0.0183,33.9994
123,Four Rings,On,67.0 mm,0.0167,0.0206,0.0117,60.4649,0.0181,0.0172,0.0048,60.4649,0.0240,0.0291,0.0124,63.7496
124,Four Rings,On,137.0 mm,0.0092,0.0140,0.0098,83.4808,0.0043,0.0048,0.0021,105.4273,0.0110,0.0165,0.0092,112.3153
125,Four Rings,On,138.0 mm,0.0089,0.0137,0.0098,84.4250,0.0041,0.0043,0.0016,94.1946,0.0105,0.0160,0.0092,114.2047
126,Four Rings,On,159.0 mm,0.0080,0.0128,0.0094,89.5447,0.0025,0.0030,0.0014,96.7373,0.0094,0.0151,0.0087,129.8418
127,Four Rings,On,217.0 mm,0.0071,0.0119,0.0094,89.5447,0.0014,0.0021,0.0014,102.3350,0.0080,0.0140,0.0087,120.3444
128,Four Rings,On,262.0 mm,0.0066,0.0117,0.0094,96.7373,0.0014,0.0018,0.0014,105.4273,0.0080,0.0135,0.0087,144.5149
129,Four Rings,On,300.0 mm,0.0064,0.0117,0.0094,95.4463,0.0011,0.0016,0.0014,110.4968,0.0078,0.0135,0.0087,135.2804
130,Four Rings,On,368.0 mm,0.0064,0.0114,0.0094,98.0695,0.0011,0.0016,0.0009,118.2142,0.0078,0.0135,0.0087,135.2804
131,Four Rings,On,355.0 mm,0.0064,0.0114,0.0092,94.1946,0.0011,0.0016,0.0009,118.2142,0.0078,0.0135,0.0087,144.5149
132,No Rings,On,535.0 mm,0.0064,0.0117,0.0094,96.7373,0.0011,0.0018,0.0014,107.0564,0.0076,0.0135,0.0087,138.2038
133,One Ring,On,224.0 mm,0.0071,0.0121,0.0094,95.4463,0.0254,0.0231,0.0060,87.4124,0.1302,0.1275,0.0350,13.1586
134,One Ring,On,234.0 mm,0.0071,0.0121,0.0094,92.9802,0.0087,0.0082,0.0027,82.5608,0.0167,0.0220,0.0105,72.4211
135,One Ring,On,237.0 mm,0.0076,0.0126,0.0094,98.0695,0.0023,0.0030,0.0016,114.2047,0.0092,0.0149,0.0092,114.2047
136,One Ring,On,241.0 mm,0.0073,0.0124,0.0098,91.8015,0.0014,0.0021,0.0014,110.4968,0.0085,0.0142,0.0087,135.2804
137,One Ring,On,279.0 mm,0.0066,0.0119,0.0094,103.8545,0.0014,0.0018,0.0014,108.7451,0.0080,0.0140,0.0087,127.3072
138,One Ring,On,309.0 mm,0.0066,0.0119,0.0094,99.4450,0.0014,0.0018,0.0014,108.7451,0.0078,0.0137,0.0087,138.2038
139,One Ring,On,416.0 mm,0.0066,0.0119,0.0094,92.9802,0.0014,0.0018,0.0014,118.2142,0.0078,0.0137,0.0087,135.2804
140,One Ring,On,349.0 mm,0.0066,0.0119,0.0094,98.0695,0.0014,0.0021,0.0014,118.2142,0.0080,0.0140,0.0087,132.4965
141,One Ring,On,8190.0 mm,0.0066,0.0119,0.0094,95.4463,0.0014,0.0021,0.0014,114.2047,0.0080,0.0140,0.0087,120.3444
142,One Ring,On,508.0 mm,0.0066,0.0119,0.0094,98.0695,0.0016,0.0023,0.0014,120.3444,0.0087,0.0144,0.0087,124.8843
143,One Ring,On,268.0 mm,0.0073,0.0124,0.0094,102.3350,0.0043,0.0043,0.0021,105.4273,0.0110,0.0167,0.0094,100.8660
144,One Ring,On,234.0 mm,0.0076,0.0124,0.0098,100.8660,0.0018,0.0025,0.0014,116.1694,0.0087,0.0144,0.0087,124.8843
145,One Ring,On,263.0 mm,0.0066,0.0119,0.0094,103.8545,0.0014,0.0021,0.0014,127.3072,0.0078,0.0137,0.0087,132.4965
146,One Ring,On,323.0 mm,0.0066,0.0119,0.0094,100.8660,0.0014,0.0018,0.0014,118.2142,0.0078,0.0140,0.0087,129.8418
147,One Ring,On,367.0 mm,0.0064,0.0117,0.0098,94.1946,0.0011,0.0018,0.0014,122.5657,0.0078,0.0137,0.0087,127.3072
148,One Ring,On,435.0 mm,0.0066,0.0119,0.0098,100.8660,0.0011,0.0018,0.0014,108.7451,0.0078,0.0137,0.0087,151.5366
149,One Ring,On,366.0 mm,0.0066,0.0119,0.0098,95.4463,0.0011,0.0018,0.0014,114.2047,0.0078,0.0137,0.0087,138.2038
150,Four Rings,On,20.0 mm,0.6409,0.5944,0.1758,6.3576,0.0025,0.0018,0.0002,6.3576,1.0000,1.0000,0.2969,6.3576
151,Four Rings,On,41.0 mm,0.0318,0.0348,0.0163,37.3719,0.0426,0.0396,0.0098,34.8367,0.0437,0.0465,0.0158,42.3959
152,Four Rings,On,109.0 mm,0.0114,0.0160,0.0101,75.9639,0.0064,0.0064,0.0023,83.4808,0.0130,0.0185,0.0098,107.0564
153,Four Rings,On,164.0 mm,0.0080,0.0128,0.0098,88.4637,0.0025,0.0030,0.0016,108.7451,0.0092,0.0151,0.0087,127.3072
154,Four Rings,On,216.0 mm,0.0073,0.0121,0.0094,95.4463,0.0016,0.0023,0.0014,112.3153,0.0085,0.0142,0.0087,129.8418
155,Four Rings,On,280.0 mm,0.0066,0.0119,0.0094,91.8015,0.0014,0.0021,0.0014,110.4968,0.0080,0.0140,0.0087,132.4965
156,Four Rings,On,370.0 mm,0.0066,0.0119,0.0094,95.4463,0.0014,0.0018,0.0014,112.3153,0.0078,0.0140,0.0087,132.4965
157,Four Rings,On,305.0 mm,0.0066,0.0119,0.0094,86.3897,0.0014,0.0021,0.0014,114.2047,0.0078,0.0137,0.0087,138.2038
158,Four Rings,On,230.0 mm,0.0073,0.0124,0.0094,94.1946,0.0016,0.0023,0.0014,103.8545,0.0087,0.0144,0.0087,135.2804
159,Four Rings,On,159.0 mm,0.0082,0.0133,0.0098,92.9802,0.0030,0.0034,0.0016,99.4450,0.0096,0.0156,0.0092,120.3444
160,Four Rings,On,126.0 mm,0.0092,0.0140,0.0098,89.5447,0.0043,0.0046,0.0021,105.4273,0.0112,0.0167,0.0092,112.3153
161,Four Rings,On,72.0 mm,0.0124,0.0169,0.0105,72.4211,0.0096,0.0092,0.0027,76.7215,0.0158,0.0208,0.0101,89.5447
162,Four Rings,On,78.0 mm,0.0165,0.0206,0.0117,59.1735,0.0167,0.0160,0.0041,67.4797,0.0213,0.0254,0.0110,73.0988
163,Four Rings,On,132.0 mm,0.0101,0.0149,0.0105,79.9360,0.0053,0.0057,0.0023,90.6568,0.0119,0.0172,0.0094,112.3153
164,Four Rings,On,175.0 mm,0.0082,0.0130,0.0098,94.1946,0.0027,0.0034,0.0016,105.4273,0.0096,0.0153,0.0092,120.3444
165,Four Rings,On,233.0 mm,0.0073,0.0121,0.0094,90.6568,0.0016,0.0023,0.0014,110.4968,0.0085,0.0142,0.0087,122.5657
166,Four Rings,On,300.0 mm,0.0066,0.0119,0.0094,99.4450,0.0014,0.0021,0.0014,107.0564,0.0080,0.0140,0.0087,129.8418
167,Four Rings,On,340.0 mm,0.0066,0.0117,0.0094,95.4463,0.0014,0.0018,0.0014,120.3444,0.0080,0.0140,0.0087,135.2804
168,Four Rings,On,305.0 mm,0.0071,0.0119,0.0098,99.4450,0.0014,0.0018,0.0014,122.5657,0.0078,0.0137,0.0087,141.2778
169,Four Rings,On,181.0 mm,0.0076,0.0124,0.0094,96.7373,0.0021,0.0027,0.0014,102.3350,0.0089,0.0146,0.0087,122.5657
170,Four Rings,On,131.0 mm,0.0094,0.0142,0.0101,83.4808,0.0041,0.0043,0.0021,96.7373,0.0105,0.0160,0.0087,118.2142
171,Four Rings,On,84.0 mm,0.0149,0.0190,0.0112,68.0545,0.0101,0.0101,0.0030,75.2234,0.0163,0.0211,0.0098,92.9802
172,Four Rings,On,58.0 mm,0.0240,0.0277,0.0137,46.4949,0.0240,0.0231,0.0062,51.0421,0.0270,0.0311,0.0126,63.7496
173,Four Rings,On,44.0 mm,0.0272,0.0307,0.0149,42.3959,0.0343,0.0320,0.0087,40.2078,0.0375,0.0412,0.0149,45.7872
174,Four Rings,On,47.0 mm,0.0375,0.0401,0.0176,31.1619,0.0270,0.0259,0.0066,48.7795,0.0270,0.0311,0.0124,66.9160
175,Four Rings,On,73.0 mm,0.0188,0.0227,0.0124,51.6465,0.0124,0.0121,0.0034,79.9360,0.0156,0.0204,0.0098,98.0695
